# title|artist|genre|duration_sec|playCount|rating|path|coverPath
7969 Santa|Drake|Hip Hop|211|7512|4.2|assets/songs/Drake - 7969 Santa.mp3|assets/covers/For All The Dogs.png
8am in Charlotte|Drake|Hip Hop|250|17983|4.4|assets/songs/Drake - 8am in Charlotte.mp3|assets/covers/For All The Dogs.png
All The Parties|Drake|Hip Hop|214|41648|4.6|assets/songs/Drake - All The Parties.mp3|assets/covers/For All The Dogs.png
Amen|Drake|Hip Hop|215|35466|4.8|assets/songs/Drake - Amen.mp3|assets/covers/For All The Dogs.png
Another Late Night|Drake|Hip Hop|204|3113|4.0|assets/songs/Drake - Another Late Night.mp3|assets/covers/For All The Dogs.png
Away From Home|Drake|Hip Hop|238|35734|4.5|assets/songs/Drake - Away From Home.mp3|assets/covers/For All The Dogs.png
Bahamas Promises|Drake|Hip Hop|214|24709|4.3|assets/songs/Drake - Bahamas Promises.mp3|assets/covers/For All The Dogs.png
BBL Love (Interlude)|Drake|Hip Hop|218|12330|4.6|assets/songs/Drake - BBL Love (Interlude).mp3|assets/covers/For All The Dogs.png
Calling For You|Drake|Hip Hop|225|8827|4.3|assets/songs/Drake - Calling For You.mp3|assets/covers/For All The Dogs.png
Daylight|Drake|Hip Hop|233|47086|4.3|assets/songs/Drake - Daylight.mp3|assets/covers/For All The Dogs.png
Drew A Picasso|Drake|Hip Hop|237|44400|4.9|assets/songs/Drake - Drew A Picasso.mp3|assets/covers/For All The Dogs.png
Evil Ways|Drake|Hip Hop|256|34920|4.4|assets/songs/Drake - Evil Ways.mp3|assets/covers/For All The Dogs.png
Fear Of Heights|Drake|Hip Hop|182|11607|4.4|assets/songs/Drake - Fear Of Heights.mp3|assets/covers/For All The Dogs.png
First Person Shooter|Drake|Hip Hop|189|2060|4.3|assets/songs/Drake - First Person Shooter.mp3|assets/covers/For All The Dogs.png
Gently|Drake|Hip Hop|233|2959|5.0|assets/songs/Drake - Gently.mp3|assets/covers/For All The Dogs.png
IDGAF|Drake|Hip Hop|259|25579|4.5|assets/songs/Drake - IDGAF.mp3|assets/covers/For All The Dogs.png
Members Only|Drake|Hip Hop|233|6235|4.6|assets/songs/Drake - Members Only.mp3|assets/covers/For All The Dogs.png
Polar Opposites|Drake|Hip Hop|196|31399|4.7|assets/songs/Drake - Polar Opposites.mp3|assets/covers/For All The Dogs.png
Red Button|Drake|Hip Hop|218|41093|4.7|assets/songs/Drake - Red Button .mp3|assets/covers/For All The Dogs.png
Rich Baby Daddy|Drake|Hip Hop|241|24858|4.4|assets/songs/Drake - Rich Baby Daddy.mp3|assets/covers/For All The Dogs.png
Slime You Out|Drake|Hip Hop|180|5050|4.6|assets/songs/Drake - Slime You Out.mp3|assets/covers/For All The Dogs.png
Stories About My Brother|Drake|Hip Hop|196|19173|4.8|assets/songs/Drake - Stories About My Brother .mp3|assets/covers/For All The Dogs.png
The Shoe Fits|Drake|Hip Hop|242|25333|4.9|assets/songs/Drake - The Shoe Fits .mp3|assets/covers/For All The Dogs.png
Tried Our Best|Drake|Hip Hop|198|30815|4.7|assets/songs/Drake - Tried Our Best.mp3|assets/covers/For All The Dogs.png
Virginia Beach|Drake|Hip Hop|246|3631|4.9|assets/songs/Drake - Virginia Beach.mp3|assets/covers/For All The Dogs.png
What Would Pluto Do|Drake|Hip Hop|216|23878|4.7|assets/songs/Drake - What Would Pluto Do.mp3|assets/covers/For All The Dogs.png
Wick Man|Drake|Hip Hop|204|15125|4.9|assets/songs/Drake - Wick Man.mp3|assets/covers/For All The Dogs.png
You Broke My Heart|Drake|Hip Hop|185|27702|4.6|assets/songs/Drake - You Broke My Heart .mp3|assets/covers/For All The Dogs.png
All The Money ft. Gunna|Metro Boomin|Hip Hop|203|26386|4.6|assets/songs/Metro Boomin - All The Money ft. Gunna .mp3|assets/covers/HEROES & VILLAINS.png
Around Me ft. Don Toliver|Metro Boomin|Hip Hop|235|17193|4.9|assets/songs/Metro Boomin - Around Me ft. Don Toliver .mp3|assets/covers/HEROES & VILLAINS.png
Creepin ft. The Weeknd 21 Savage|Metro Boomin|Hip Hop|242|33596|4.0|assets/songs/Metro Boomin - Creepin ft. The Weeknd 21 Savage .mp3|assets/covers/HEROES & VILLAINS.png
Feel The Fiyaaaah ft. A$AP Rocky Takeoff|Metro Boomin|Hip Hop|210|26777|4.5|assets/songs/Metro Boomin - Feel The Fiyaaaah ft. A$AP Rocky Takeoff .mp3|assets/covers/HEROES & VILLAINS.png
Lock On Me ft. Travis Scott Future|Metro Boomin|Hip Hop|246|27437|4.1|assets/songs/Metro Boomin - Lock On Me ft. Travis Scott Future .mp3|assets/covers/HEROES & VILLAINS.png
